k,false_positive,theoretical_fp
1,7.70,9.52
2,6.80,3.29
3,7.70,1.74
4,5.80,1.18
5,7.30,0.94
6,9.00,0.84
7,10.90,0.82
8,12.80,0.85
9,12.90,0.91
10,14.00,1.02
11,18.60,1.16
12,20.00,1.36
13,23.80,1.60
14,22.90,1.90
15,27.40,2.27
16,30.30,2.71
17,31.60,3.24
18,30.00,3.87
19,38.50,4.60
20,39.60,5.46
21,38.00,6.44
22,41.40,7.55
23,44.30,8.80
24,43.00,10.20
25,46.10,11.75
26,51.60,13.44
27,53.40,15.28
28,56.20,17.26
29,55.60,19.37
30,60.20,21.61
31,61.60,23.96
32,61.50,26.40
33,64.90,28.93
34,64.00,31.54
35,68.40,34.19
36,65.30,36.89
37,75.20,39.60
38,78.40,42.33
39,76.00,45.04
40,77.60,47.74
41,81.80,50.40
42,80.80,53.02
43,82.50,55.57
44,80.90,58.07
45,85.70,60.49
46,82.80,62.83
47,84.40,65.09
48,87.20,67.26
49,88.80,69.33
50,87.70,71.32
51,87.80,73.21
52,91.40,75.00
53,88.40,76.70
54,90.00,78.31
55,91.30,79.83
56,92.10,81.26
57,94.50,82.61
58,93.00,83.87
59,93.20,85.06
60,93.50,86.16
61,94.30,87.20
62,98.50,88.17
63,96.50,89.07
